Subsystem;Name;VID;DataType;VariableType;Unit;Description;HOST Changeable
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;VacuumThreshold;121084;F8;EquipmentConstant;mbar;Specifies the threshold of the vacuum which indicates available or leaking. The vacuum value is negative compared to the ambient pressure. E.g. Vacuum = -750 mBar and Threshold = -800 mBar means 'Leaking'       Vacuum = -810 mBar and Threshold = -800 mBar means 'Available';False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.InnerVacuumZone;VacuumTimeout;121085;I4;EquipmentConstant;ms;Specifies the maximum time which is waited for vacuum.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613;MaximumTemperature;121086;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613;MaximumTemperatureTolerance;121087;F4;EquipmentConstant;°C;Specifies the maximum allowed temperature difference between setpoint and sensor.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;DefaultPressure;121088;F8;EquipmentConstant;mbar;Specifies the default pressure setpoint when purging. E.g. 1000 mbar. The pressure value is positive compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;DefaultVacuum;121089;F8;EquipmentConstant;mbar;Specifies the default vacuum setpoint when evacuating. E.g. -800 mbar. The vacuum value is negative compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;TakeoverVacuum;121090;F8;EquipmentConstant;mbar;Specifies the vacuum value when evacuating before wafer is taken over.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;VacuumRamp;121091;F8;EquipmentConstant;mbar;Specifies the default vacuum ramp interval per second up to the controlled vacuum (So the unit is Millibar per second). Value = 0 means no ramp.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;VacuumThreshold;121092;F8;EquipmentConstant;mbar;Specifies the threshold of the vacuum which indicates available or leaking. The vacuum value is negative compared to the ambient pressure. E.g. Vacuum = -750 mBar and Threshold = -800 mBar means 'Leaking'       Vacuum = -810 mBar and Threshold = -800 mBar means 'Available';False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.MiddleVacuumZone;VacuumTimeout;121093;I4;EquipmentConstant;ms;Specifies the maximum time which is waited for vacuum.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613;MinimumTemperature;121094;F4;EquipmentConstant;°C;Specifies the minimum allowed temperature (Temperature Reference Sensor + Temperature Offset or 21.5°C if no sensor is configured).;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.OuterVacuumZone;DefaultPressure;121095;F8;EquipmentConstant;mbar;Specifies the default pressure setpoint when purging. E.g. 1000 mbar. The pressure value is positive compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.OuterVacuumZone;DefaultVacuum;121096;F8;EquipmentConstant;mbar;Specifies the default vacuum setpoint when evacuating. E.g. -800 mbar. The vacuum value is negative compared to the ambient pressure.;False
GeminiFB.PP2.D.EAM.Machine.BondChuckCollection.SPGEM0613.OuterVacuumZone;TakeoverVacuum;121097;F8;EquipmentConstant;mbar;Specifies the vacuum value when evacuating before wafer is taken over.;False
